p_column,threshold,pfa,pd
p_0.01,0.9265941957191238,1.0,1.0
p_0.01,0.9265963378099669,1.0,1.0
p_0.01,0.92659847990081,1.0,1.0
p_0.01,0.926600621991653,1.0,1.0
p_0.01,0.9266027640824961,1.0,1.0
p_0.01,0.9266049061733392,1.0,1.0
p_0.01,0.9266070482641823,1.0,1.0
p_0.01,0.9266091903550253,1.0,1.0
p_0.01,0.9266113324458684,1.0,1.0
p_0.01,0.9266134745367115,1.0,1.0
p_0.01,0.9266156166275545,1.0,1.0
p_0.01,0.9266177587183976,1.0,1.0
p_0.01,0.9266199008092407,1.0,1.0
p_0.01,0.9266220429000838,1.0,1.0
p_0.01,0.9266241849909268,1.0,1.0
p_0.01,0.92662632708177,1.0,1.0
p_0.01,0.926628469172613,1.0,1.0
p_0.01,0.926630611263456,1.0,1.0
p_0.01,0.9266327533542991,1.0,1.0
p_0.01,0.9266348954451422,1.0,1.0
p_0.01,0.9266370375359853,1.0,1.0
p_0.01,0.9266391796268283,1.0,1.0
p_0.01,0.9266413217176714,1.0,1.0
p_0.01,0.9266434638085145,1.0,1.0
p_0.01,0.9266456058993575,1.0,1.0
p_0.01,0.9266477479902007,1.0,1.0
p_0.01,0.9266498900810437,1.0,1.0
p_0.01,0.9266520321718867,1.0,1.0
p_0.01,0.9266541742627298,1.0,1.0
p_0.01,0.9266563163535729,1.0,1.0
p_0.01,0.926658458444416,1.0,1.0
p_0.01,0.926660600535259,1.0,1.0
p_0.01,0.9266627426261022,1.0,1.0
p_0.01,0.9266648847169452,1.0,1.0
p_0.01,0.9266670268077882,1.0,1.0
p_0.01,0.9266691688986314,1.0,1.0
p_0.01,0.9266713109894744,1.0,1.0
p_0.01,0.9266734530803175,1.0,1.0
p_0.01,0.9266755951711605,1.0,1.0
p_0.01,0.9266777372620036,1.0,1.0
p_0.01,0.9266798793528467,1.0,1.0
p_0.01,0.9266820214436897,1.0,1.0
p_0.01,0.9266841635345329,1.0,1.0
p_0.01,0.9266863056253759,1.0,1.0
p_0.01,0.9266884477162189,1.0,1.0
p_0.01,0.9266905898070621,1.0,1.0
p_0.01,0.9266927318979051,1.0,1.0
p_0.01,0.9266948739887482,1.0,1.0
p_0.01,0.9266970160795912,1.0,1.0
p_0.01,0.9266991581704344,1.0,1.0
p_0.01,0.9267013002612774,1.0,1.0
p_0.01,0.9267034423521204,1.0,1.0
p_0.01,0.9267055844429636,1.0,1.0
p_0.01,0.9267077265338066,1.0,1.0
p_0.01,0.9267098686246497,1.0,1.0
p_0.01,0.9267120107154928,1.0,1.0
p_0.01,0.9267141528063358,1.0,1.0
p_0.01,0.9267162948971789,1.0,1.0
p_0.01,0.9267184369880219,1.0,1.0
